#
# Generated by G. Mace, Sun Mar 11 17:16:51 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   2.3878720    6.4363E-03    9.4516E-03
   2.3907404    6.7447E-03    9.2135E-03
   2.3936100    9.8071E-03    9.2467E-03
   2.3964808   -7.3416E-03    8.9616E-03
   2.3993535   -1.6604E-03    8.6246E-03
   2.4022279    2.3038E-02    8.8286E-03
   2.4051044   -5.7374E-04    9.2636E-03
   2.4079838    1.2540E-02    9.5385E-03
   2.4108658    1.6239E-02    9.7348E-03
   2.4137511    1.8308E-02    1.0415E-02
   2.4166398   -1.1973E-02    1.1620E-02
   2.4195325    1.1119E-02    1.1941E-02
   2.4224296   -4.4841E-03    1.1160E-02
   2.4253314    1.9520E-02    1.0030E-02
   2.4282382    9.0127E-03    9.0389E-03
   2.4311504    2.1960E-02    9.3566E-03
   2.4340684    9.7557E-03    1.1292E-02
   2.4369929    5.0565E-03    1.2815E-02
   2.4399240    8.1064E-03    1.2235E-02
   2.4428623    6.3349E-03    1.0698E-02
   2.4458082    1.1145E-02    1.0966E-02
   2.4487622    8.7962E-03    1.3254E-02
   2.4517248    6.9532E-03    1.5175E-02
   2.4546967   -1.5339E-03    1.5213E-02
   2.4576781    2.2855E-02    1.2906E-02
   2.4606695    2.2142E-02    1.1231E-02
   2.4636717    2.7421E-03    1.1412E-02
   2.4666853    1.2437E-02    1.1830E-02
   2.4697106    1.2816E-02    1.1967E-02
   2.4727483    3.5089E-02    1.3186E-02
   2.4757988   -7.8981E-03    1.5883E-02
   2.4788632    1.0740E-02    1.5662E-02
   2.4819417    3.5140E-02    1.5559E-02
   2.4850352    2.9076E-02    1.5562E-02
   2.4881444    2.4194E-02    1.8534E-02
   2.4912696    3.1516E-03    2.1405E-02
   2.4944117    2.5288E-03    2.2353E-02
   2.4975717    3.8146E-02    2.3461E-02
   2.5007498   -1.1636E-02    2.4343E-02
   2.5039473    5.8674E-03    2.2207E-02
   2.5071645    1.4558E-02    1.9857E-02
   2.5104024    5.6431E-02    1.9242E-02
   2.5136619   -1.8361E-02    2.1800E-02
   2.5169435    2.4440E-03    2.4785E-02
   2.5202484    1.1614E-02    2.6868E-02
   2.5235772    2.2843E-02    3.0019E-02
   2.5269310   -3.4276E-02    4.0332E-02
   2.5303104   -5.3633E-02    4.2980E-02
   2.5337167   -2.3886E-02    4.1077E-02
   2.5371504    4.9390E-02    3.8136E-02
   2.5406129    3.2552E-02    4.4508E-02
   2.5441048    2.1047E-02    6.5864E-02
   2.5476274    1.5136E-01    8.9809E-02
   2.5511816   -2.4850E-03    1.1382E-01
   2.5547683   -2.5403E-03    1.0571E-01
   2.5583889    1.4844E-02    9.2272E-02
   2.5620441   -1.4911E-01    1.1037E-01
   2.5657353    1.0166E-01    1.5211E-01
   2.5694637   -4.0411E-01    2.5810E-01
   2.5732300    8.6837E-03    2.5737E-01
   2.5770361    9.8668E-02    2.1645E-01
   2.5808825    1.1949E-02    1.3140E-01
